Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,66.0,66.0,69.0,66.0,68.0,1453100
2020-01-03,67.0,67.0,73.0,64.0,66.0,17138200
2020-01-06,68.0,68.0,69.0,65.0,67.0,14102500
2020-01-07,67.0,67.0,70.0,66.0,68.0,10618700
2020-01-08,65.0,65.0,68.0,57.0,57.0,11976900
2020-01-09,65.0,65.0,66.0,63.0,64.0,6787700
2020-01-10,65.0,65.0,70.0,57.0,57.0,13442300
2020-01-13,67.0,67.0,69.0,65.0,65.0,21166000
2020-01-14,66.0,66.0,70.0,65.0,67.0,13430500
2020-01-15,89.0,89.0,89.0,62.0,66.0,58282200
2020-01-16,111.0,111.0,118.0,90.0,96.0,106799700
2020-01-17,89.0,89.0,111.0,87.0,111.0,32420100
2020-01-20,72.0,72.0,94.0,62.0,93.0,92974800
2020-01-21,91.0,91.0,97.0,63.0,63.0,220848900
2020-01-22,80.0,80.0,92.0,79.0,82.0,44554000
2020-01-23,81.0,81.0,91.0,78.0,84.0,54983200
2020-01-24,79.0,79.0,86.0,79.0,80.0,10779300
2020-01-27,74.0,74.0,81.0,73.0,79.0,7249500
2020-01-28,82.0,82.0,93.0,72.0,72.0,84435400
2020-01-29,83.0,83.0,87.0,80.0,81.0,14506700
2020-01-30,81.0,81.0,86.0,79.0,79.0,4729600
2020-01-31,79.0,79.0,81.0,77.0,81.0,3528800
2020-02-03,73.0,73.0,79.0,69.0,78.0,5183800
2020-02-04,80.0,80.0,89.0,75.0,75.0,29242700
2020-02-05,76.0,76.0,82.0,74.0,81.0,10997100
2020-02-06,78.0,78.0,80.0,76.0,78.0,4713400
2020-02-07,76.0,76.0,79.0,75.0,78.0,2605100
2020-02-10,78.0,78.0,80.0,74.0,76.0,7820300
2020-02-11,75.0,75.0,79.0,75.0,79.0,5152200
2020-02-12,70.0,70.0,76.0,70.0,76.0,5059200
2020-02-13,69.0,69.0,76.0,66.0,71.0,7644400
2020-02-14,68.0,68.0,71.0,66.0,70.0,2377400
2020-02-17,66.0,66.0,69.0,65.0,68.0,4289300
2020-02-18,65.0,65.0,68.0,63.0,63.0,2671800
2020-02-19,63.0,63.0,66.0,55.0,55.0,4445900
2020-02-20,65.0,65.0,73.0,62.0,62.0,22280500
2020-02-21,64.0,64.0,67.0,63.0,66.0,5093900
2020-02-24,61.0,61.0,66.0,61.0,65.0,2888400
2020-02-25,63.0,63.0,65.0,61.0,61.0,2334400
2020-02-26,57.0,57.0,63.0,57.0,62.0,3469100
2020-02-27,52.0,52.0,58.0,50.0,57.0,12886800
2020-02-28,50.0,50.0,52.0,50.0,52.0,4146500
2020-03-02,50.0,50.0,53.0,50.0,50.0,2751000
2020-03-03,61.0,61.0,62.0,50.0,51.0,6631800
2020-03-04,59.0,59.0,63.0,57.0,61.0,3768600
2020-03-05,56.0,56.0,60.0,56.0,59.0,2174600
2020-03-06,55.0,55.0,56.0,54.0,56.0,655400
2020-03-09,53.0,53.0,55.0,50.0,52.0,3910100
2020-03-10,53.0,53.0,62.0,51.0,53.0,5275500
2020-03-11,52.0,52.0,55.0,51.0,53.0,1887000
2020-03-12,50.0,50.0,52.0,50.0,52.0,2970100
2020-03-13,50.0,50.0,51.0,50.0,50.0,3439000
2020-03-16,50.0,50.0,50.0,50.0,50.0,160300
2020-03-17,50.0,50.0,50.0,50.0,50.0,83900
2020-03-18,50.0,50.0,50.0,50.0,50.0,36300
2020-03-19,50.0,50.0,50.0,50.0,50.0,27000
2020-03-20,50.0,50.0,50.0,50.0,50.0,188300
2020-03-23,50.0,50.0,50.0,50.0,50.0,9200
2020-03-24,50.0,50.0,50.0,50.0,50.0,592300
2020-03-26,51.0,51.0,57.0,50.0,50.0,9880000
2020-03-27,50.0,50.0,52.0,50.0,51.0,4099100
2020-03-30,50.0,50.0,52.0,50.0,50.0,722500
2020-03-31,50.0,50.0,51.0,50.0,50.0,205000
2020-04-01,50.0,50.0,51.0,50.0,50.0,1061400
2020-04-02,50.0,50.0,51.0,50.0,50.0,809500
2020-04-03,50.0,50.0,50.0,50.0,50.0,147900
2020-04-06,50.0,50.0,50.0,50.0,50.0,986500
2020-04-07,53.0,53.0,59.0,50.0,50.0,22801000
2020-04-08,50.0,50.0,55.0,50.0,55.0,4601200
2020-04-09,50.0,50.0,52.0,50.0,51.0,2965500
2020-04-13,50.0,50.0,51.0,50.0,50.0,1334200
2020-04-14,51.0,51.0,51.0,50.0,50.0,970200
2020-04-15,50.0,50.0,51.0,50.0,51.0,958600
2020-04-16,50.0,50.0,51.0,50.0,50.0,509700
2020-04-17,50.0,50.0,50.0,50.0,50.0,137300
2020-04-20,50.0,50.0,51.0,50.0,50.0,30000
2020-04-21,50.0,50.0,50.0,50.0,50.0,14700
2020-04-22,50.0,50.0,50.0,50.0,50.0,24100
2020-04-23,50.0,50.0,50.0,50.0,50.0,49900
2020-04-24,50.0,50.0,50.0,50.0,50.0,30300
2020-04-27,50.0,50.0,50.0,50.0,50.0,24400
2020-04-28,50.0,50.0,51.0,50.0,50.0,1003100
2020-04-29,50.0,50.0,55.0,50.0,50.0,5463900
2020-04-30,50.0,50.0,51.0,50.0,51.0,966600
2020-05-04,51.0,51.0,51.0,50.0,50.0,996200
2020-05-05,50.0,50.0,51.0,50.0,51.0,1423200
2020-05-06,50.0,50.0,51.0,50.0,51.0,675200
2020-05-08,50.0,50.0,51.0,50.0,50.0,559000
2020-05-11,50.0,50.0,51.0,50.0,50.0,423400
